# 数据集：synthetic_takeaway_menu_v3
# 说明：用于推荐算法测试的420道模拟外卖数据：180道属于60个营养相似组，240道差异化菜品两两之间至少有一项核心营养差异超过10%。
# 菜品数量：420
菜品ID	平台	商家名称	菜品名称	分类	每份重量(g)	价格(元)	热量(kcal)	蛋白质(g)	脂肪(g)	碳水(g)	膳食纤维(g)	钠(mg)	添加糖(g)	营养近似组	价格档位	数据角色
sim-344	eleme	差异化营养厨房04	特色营养套餐164	差异化套餐4	621	59.3	407	31.0	11.0	46.0	4.0	1749	9		distinct	distinct
sim-345	jd	差异化营养厨房05	特色营养套餐165	差异化套餐5	638	66.6	571	31.0	15.0	78.0	7.5	1822	12		distinct	distinct
sim-346	meituan	差异化营养厨房06	特色营养套餐166	差异化套餐6	305	18.0	569	31.0	29.0	46.0	3.0	395	0		distinct	distinct
sim-347	eleme	差异化营养厨房07	特色营养套餐167	差异化套餐7	322	25.3	544	40.0	8.0	78.0	5.5	468	3		distinct	distinct
sim-348	jd	差异化营养厨房08	特色营养套餐168	差异化套餐8	339	32.6	435	40.0	15.0	35.0	10.5	541	6		distinct	distinct
sim-349	meituan	差异化营养厨房09	特色营养套餐169	差异化套餐1	356	39.0	661	40.0	21.0	78.0	4.0	614	9		distinct	distinct
sim-350	eleme	差异化营养厨房10	特色营养套餐170	差异化套餐2	373	46.3	272	15.0	8.0	35.0	7.5	687	12		distinct	distinct
sim-351	jd	差异化营养厨房11	特色营养套餐171	差异化套餐3	390	53.6	471	15.0	11.0	78.0	3.0	760	0		distinct	distinct
sim-352	meituan	差异化营养厨房12	特色营养套餐172	差异化套餐4	407	60.0	389	15.0	21.0	35.0	5.5	833	3		distinct	distinct
sim-353	eleme	差异化营养厨房13	特色营养套餐173	差异化套餐5	424	67.3	561	15.0	29.0	60.0	10.5	906	6		distinct	distinct
sim-354	jd	差异化营养厨房14	特色营养套餐174	差异化套餐6	441	19.6	315	19.0	11.0	35.0	4.0	979	9		distinct	distinct
sim-355	meituan	差异化营养厨房15	特色营养套餐175	差异化套餐7	458	26.0	451	19.0	15.0	60.0	7.5	1052	12		distinct	distinct
sim-356	eleme	差异化营养厨房16	特色营养套餐176	差异化套餐8	475	33.3	477	19.0	29.0	35.0	3.0	1125	0		distinct	distinct
sim-357	jd	差异化营养厨房17	特色营养套餐177	差异化套餐1	492	40.6	408	24.0	8.0	60.0	5.5	1198	3		distinct	distinct
sim-358	meituan	差异化营养厨房18	特色营养套餐178	差异化套餐2	509	47.0	603	24.0	11.0	102.0	10.5	1271	6		distinct	distinct
sim-359	eleme	差异化营养厨房19	特色营养套餐179	差异化套餐3	526	54.3	525	24.0	21.0	60.0	4.0	1344	9		distinct	distinct
sim-360	jd	差异化营养厨房20	特色营养套餐180	差异化套餐4	543	61.6	765	24.0	29.0	102.0	7.5	1417	12		distinct	distinct
sim-361	meituan	差异化营养厨房21	特色营养套餐181	差异化套餐5	560	68.0	463	31.0	11.0	60.0	3.0	1490	0		distinct	distinct
sim-362	eleme	差异化营养厨房22	特色营养套餐182	差异化套餐6	577	20.3	667	31.0	15.0	102.0	5.5	1563	3		distinct	distinct
sim-363	jd	差异化营养厨房23	特色营养套餐183	差异化套餐7	594	27.6	569	31.0	29.0	46.0	10.5	1636	6		distinct	distinct
sim-364	meituan	差异化营养厨房24	特色营养套餐184	差异化套餐8	611	34.0	640	40.0	8.0	102.0	4.0	1709	9		distinct	distinct
sim-365	eleme	差异化营养厨房25	特色营养套餐185	差异化套餐1	628	41.3	479	40.0	15.0	46.0	7.5	1782	12		distinct	distinct
sim-366	jd	差异化营养厨房26	特色营养套餐186	差异化套餐2	645	48.6	757	40.0	21.0	102.0	3.0	355	0		distinct	distinct
sim-367	meituan	差异化营养厨房27	特色营养套餐187	差异化套餐3	312	55.0	316	15.0	8.0	46.0	5.5	428	3		distinct	distinct
sim-368	eleme	差异化营养厨房28	特色营养套餐188	差异化套餐4	329	62.3	471	15.0	11.0	78.0	10.5	501	6		distinct	distinct
sim-369	jd	差异化营养厨房29	特色营养套餐189	差异化套餐5	346	69.6	433	15.0	21.0	46.0	4.0	574	9		distinct	distinct
sim-370	meituan	差异化营养厨房30	特色营养套餐190	差异化套餐6	363	21.0	633	15.0	29.0	78.0	7.5	647	12		distinct	distinct
sim-371	eleme	差异化营养厨房31	特色营养套餐191	差异化套餐7	380	28.3	359	19.0	11.0	46.0	3.0	720	0		distinct	distinct
sim-372	jd	差异化营养厨房32	特色营养套餐192	差异化套餐8	397	35.6	523	19.0	15.0	78.0	5.5	793	3		distinct	distinct
sim-373	meituan	差异化营养厨房33	特色营养套餐193	差异化套餐1	414	42.0	477	19.0	29.0	35.0	10.5	866	6		distinct	distinct
sim-374	eleme	差异化营养厨房34	特色营养套餐194	差异化套餐2	431	49.3	480	24.0	8.0	78.0	4.0	939	9		distinct	distinct
sim-375	jd	差异化营养厨房35	特色营养套餐195	差异化套餐3	448	56.6	371	24.0	15.0	35.0	7.5	1012	12		distinct	distinct
sim-376	meituan	差异化营养厨房36	特色营养套餐196	差异化套餐4	465	63.0	597	24.0	21.0	78.0	3.0	1085	0		distinct	distinct
sim-377	eleme	差异化营养厨房37	特色营养套餐197	差异化套餐5	482	70.3	336	31.0	8.0	35.0	5.5	1158	3		distinct	distinct
sim-378	jd	差异化营养厨房38	特色营养套餐198	差异化套餐6	499	22.6	463	31.0	11.0	60.0	10.5	1231	6		distinct	distinct
sim-379	meituan	差异化营养厨房39	特色营养套餐199	差异化套餐7	516	29.0	453	31.0	21.0	35.0	4.0	1304	9		distinct	distinct
sim-380	eleme	差异化营养厨房40	特色营养套餐200	差异化套餐8	533	36.3	625	31.0	29.0	60.0	7.5	1377	12		distinct	distinct
sim-381	jd	差异化营养厨房01	特色营养套餐201	差异化套餐1	550	43.6	399	40.0	11.0	35.0	3.0	1450	0		distinct	distinct
sim-382	meituan	差异化营养厨房02	特色营养套餐202	差异化套餐2	567	50.0	535	40.0	15.0	60.0	5.5	1523	3		distinct	distinct
sim-383	eleme	差异化营养厨房03	特色营养套餐203	差异化套餐3	584	57.3	757	40.0	21.0	102.0	10.5	1596	6		distinct	distinct
sim-384	jd	差异化营养厨房04	特色营养套餐204	差异化套餐4	601	64.6	372	15.0	8.0	60.0	4.0	1669	9		distinct	distinct
sim-385	meituan	差异化营养厨房05	特色营养套餐205	差异化套餐5	618	71.0	567	15.0	11.0	102.0	7.5	1742	12		distinct	distinct
sim-386	eleme	差异化营养厨房06	特色营养套餐206	差异化套餐6	635	23.3	489	15.0	21.0	60.0	3.0	1815	0		distinct	distinct
sim-387	jd	差异化营养厨房07	特色营养套餐207	差异化套餐7	302	30.6	729	15.0	29.0	102.0	5.5	388	3		distinct	distinct
sim-388	meituan	差异化营养厨房08	特色营养套餐208	差异化套餐8	319	37.0	359	19.0	11.0	46.0	10.5	461	6		distinct	distinct
sim-389	eleme	差异化营养厨房09	特色营养套餐209	差异化套餐1	336	44.3	619	19.0	15.0	102.0	4.0	534	9		distinct	distinct
sim-390	jd	差异化营养厨房10	特色营养套餐210	差异化套餐2	353	51.6	521	19.0	29.0	46.0	7.5	607	12		distinct	distinct
sim-391	meituan	差异化营养厨房11	特色营养套餐211	差异化套餐3	370	58.0	576	24.0	8.0	102.0	3.0	680	0		distinct	distinct
sim-392	eleme	差异化营养厨房12	特色营养套餐212	差异化套餐4	387	65.3	415	24.0	15.0	46.0	5.5	753	3		distinct	distinct
sim-393	jd	差异化营养厨房13	特色营养套餐213	差异化套餐5	404	72.6	597	24.0	21.0	78.0	10.5	826	6		distinct	distinct
sim-394	meituan	差异化营养厨房14	特色营养套餐214	差异化套餐6	421	24.0	380	31.0	8.0	46.0	4.0	899	9		distinct	distinct
sim-395	eleme	差异化营养厨房15	特色营养套餐215	差异化套餐7	438	31.3	535	31.0	11.0	78.0	7.5	972	12		distinct	distinct
sim-396	jd	差异化营养厨房16	特色营养套餐216	差异化套餐8	455	38.6	497	31.0	21.0	46.0	3.0	1045	0		distinct	distinct
sim-397	meituan	差异化营养厨房17	特色营养套餐217	差异化套餐1	472	45.0	697	31.0	29.0	78.0	5.5	1118	3		distinct	distinct
sim-398	eleme	差异化营养厨房18	特色营养套餐218	差异化套餐2	489	52.3	399	40.0	11.0	35.0	10.5	1191	6		distinct	distinct
sim-399	jd	差异化营养厨房19	特色营养套餐219	差异化套餐3	506	59.6	607	40.0	15.0	78.0	4.0	1264	9		distinct	distinct
sim-400	meituan	差异化营养厨房20	特色营养套餐220	差异化套餐4	523	66.0	561	40.0	29.0	35.0	7.5	1337	12		distinct	distinct
sim-401	eleme	差异化营养厨房21	特色营养套餐221	差异化套餐5	540	18.3	444	15.0	8.0	78.0	3.0	1410	0		distinct	distinct
sim-402	jd	差异化营养厨房22	特色营养套餐222	差异化套餐6	557	25.6	335	15.0	15.0	35.0	5.5	1483	3		distinct	distinct
sim-403	meituan	差异化营养厨房23	特色营养套餐223	差异化套餐7	574	32.0	489	15.0	21.0	60.0	10.5	1556	6		distinct	distinct
sim-404	eleme	差异化营养厨房24	特色营养套餐224	差异化套餐8	591	39.3	288	19.0	8.0	35.0	4.0	1629	9		distinct	distinct
sim-405	jd	差异化营养厨房25	特色营养套餐225	差异化套餐1	608	46.6	415	19.0	11.0	60.0	7.5	1702	12		distinct	distinct
sim-406	meituan	差异化营养厨房26	特色营养套餐226	差异化套餐2	625	53.0	405	19.0	21.0	35.0	3.0	1775	0		distinct	distinct
sim-407	eleme	差异化营养厨房27	特色营养套餐227	差异化套餐3	642	60.3	577	19.0	29.0	60.0	5.5	1848	3		distinct	distinct
sim-408	jd	差异化营养厨房28	特色营养套餐228	差异化套餐4	309	67.6	576	24.0	8.0	102.0	10.5	421	6		distinct	distinct
sim-409	meituan	差异化营养厨房29	特色营养套餐229	差异化套餐5	326	19.0	471	24.0	15.0	60.0	4.0	494	9		distinct	distinct
sim-410	eleme	差异化营养厨房30	特色营养套餐230	差异化套餐6	343	26.3	693	24.0	21.0	102.0	7.5	567	12		distinct	distinct
sim-411	jd	差异化营养厨房31	特色营养套餐231	差异化套餐7	360	33.6	436	31.0	8.0	60.0	3.0	640	0		distinct	distinct
sim-412	meituan	差异化营养厨房32	特色营养套餐232	差异化套餐8	377	40.0	631	31.0	11.0	102.0	5.5	713	3		distinct	distinct
sim-413	eleme	差异化营养厨房33	特色营养套餐233	差异化套餐1	394	47.3	497	31.0	21.0	46.0	10.5	786	6		distinct	distinct
sim-414	jd	差异化营养厨房34	特色营养套餐234	差异化套餐2	411	54.6	793	31.0	29.0	102.0	4.0	859	9		distinct	distinct
sim-415	meituan	差异化营养厨房35	特色营养套餐235	差异化套餐3	428	61.0	443	40.0	11.0	46.0	7.5	932	12		distinct	distinct
sim-416	eleme	差异化营养厨房36	特色营养套餐236	差异化套餐4	445	68.3	703	40.0	15.0	102.0	3.0	1005	0		distinct	distinct
sim-417	jd	差异化营养厨房37	特色营养套餐237	差异化套餐5	462	20.6	605	40.0	29.0	46.0	5.5	1078	3		distinct	distinct
sim-418	meituan	差异化营养厨房38	特色营养套餐238	差异化套餐6	479	27.0	444	15.0	8.0	78.0	10.5	1151	6		distinct	distinct
sim-419	eleme	差异化营养厨房39	特色营养套餐239	差异化套餐7	496	34.3	379	15.0	15.0	46.0	4.0	1224	9		distinct	distinct
sim-420	jd	差异化营养厨房40	特色营养套餐240	差异化套餐8	513	41.6	561	15.0	21.0	78.0	7.5	1297	12		distinct	distinct
